Date,Time,Temp ,Spec. Cond (ms/cm),ph,DO ,DO (% Saturation),turbidity ,chlorophyll ,phycocyanin,Battery (V)
12/8/2016,14:15:00,3.57,0.22,6.68,12.74,96.13,3.07,0.99,0.33,12.23
12/8/2016,14:30:00,3.65,0.23,6.69,12.7,96.06,2.13,0.77,0.32,12.22
12/8/2016,14:45:00,3.69,0.24,6.71,12.67,95.95,2.09,0.88,0.35,12.23
12/8/2016,15:00:00,3.67,0.23,6.69,12.72,96.26,2.07,0.76,0.35,12.26
12/8/2016,15:15:00,3.64,0.23,6.68,12.74,96.33,2.1,0.83,0.33,12.23
12/8/2016,15:30:00,3.66,0.23,6.7,12.73,96.31,2.14,0.75,0.32,12.22
12/8/2016,15:45:00,3.67,0.23,6.69,12.74,96.39,2.13,0.86,0.34,12.27
12/8/2016,16:00:00,3.69,0.24,6.69,12.69,96.05,2.12,0.79,0.32,12.24
12/8/2016,16:15:00,3.69,0.24,6.7,12.7,96.18,2.84,1.26,0.36,12.22
12/8/2016,16:30:00,3.71,0.24,6.7,12.71,96.26,2.09,0.9,0.33,12.22
12/8/2016,16:45:00,3.68,0.22,6.68,12.73,96.36,2.07,0.75,0.32,12.25
12/8/2016,17:00:00,3.67,0.23,6.68,12.73,96.36,2.06,0.85,0.35,12.26
12/8/2016,17:15:00,3.72,0.24,6.69,12.7,96.21,2.08,1.01,0.34,12.22
12/8/2016,17:30:00,3.7,0.23,6.68,12.7,96.18,2.1,0.88,0.34,12.23
12/8/2016,17:45:00,3.67,0.24,6.7,12.71,96.19,2.05,0.87,0.33,12.21
12/8/2016,18:00:00,3.66,0.25,6.7,12.68,95.96,2.02,0.86,0.32,12.23
12/8/2016,18:15:00,3.57,0.23,6.69,12.73,96.09,2.82,0.8,0.33,12.21
12/8/2016,18:30:00,3.61,0.23,6.68,12.69,95.9,2.07,0.83,0.31,12.22
12/8/2016,18:45:00,3.55,0.24,6.7,12.7,95.84,2.11,0.8,0.34,12.23
12/8/2016,19:00:00,3.48,0.21,6.68,12.76,96.03,2.08,0.73,0.33,12.19
12/8/2016,19:15:00,3.51,0.23,6.69,12.72,95.83,2.08,0.78,0.32,12.22
12/8/2016,19:30:00,3.51,0.24,6.69,12.71,95.77,2.06,0.92,0.35,12.21
12/8/2016,19:45:00,3.47,0.23,6.69,12.73,95.84,2.08,0.87,0.34,12.28
12/8/2016,20:00:00,3.49,0.25,6.7,12.69,95.59,2.11,0.8,0.36,12.29
12/8/2016,20:15:00,3.42,0.22,6.68,12.74,95.77,2.35,0.82,0.33,12.24
12/8/2016,20:30:00,3.39,0.22,6.69,12.73,95.59,2.14,0.74,0.32,12.21
12/8/2016,20:45:00,3.39,0.23,6.69,12.73,95.58,2.08,0.9,0.34,12.23
12/8/2016,21:00:00,3.41,0.23,6.69,12.7,95.44,2.08,0.86,0.33,12.24
