Site ID,,Date,E.coli (MPN/100mL),Chlorophyll a (ug/L),Time (current),TP as P (ug/L) ,OP as P (ug/L),Nitrite as N (ug/L),Nitrate as N (mg/L),Date,CSO Discharge Duration (Hours),Total CSO Discharge Volume (MG),Primary (Secondary Bypass) Total Volume (MGD),Secondary Effluent (MGD),
AND01,Andover Sampling Port',9/7/2016,16,~7.6,12:18,,,,,,,,,,
AND01,Andover Sampling Port',9/21/2016,202,,10:12,,,,,,,,,,
AND01,Andover Sampling Port',9/21/2016,192,8.2,10:12,,,,,,,,,,
AND01,Andover Sampling Port',10/12/2016,202,3.4,10:14,,,,,,,,,,
AND01,Andover Sampling Port',10/26/2016,,4.2,12:41,,,,,,,,,,
AND01,Andover Sampling Port',11/16/2016,84,,10:30,,,,,,,,,,
AND01,Andover Sampling Port',11/30/2016,223,,9:41,,,,,11/30/2016,,0.40,0.48,35.35,
AND01,Andover Sampling Port',12/14/2016,43,,12:30,,,,,,,,,,
AND01,Andover Sampling Port',9/21/2017,192,,10:12,,,,,,,,,,
AND01               ,Andover Sampling Port',5/17/2017,44,,11:35,36,ND(5)   ,,,,,,,,
AND01               ,Andover Sampling Port',5/26/2017,992,,12:14,38,,,,,,,,,
AND01               ,Andover Sampling Port',6/13/2017,49,,10:34,25,~ND (5)            ,,,,,,,,
AND01               ,Andover Sampling Port',6/19/2017,125,,12:10,31,6.0,,,,,,,,
AND01               ,Andover Sampling Port',8/14/2017,49,,10:48,,,,,,,,,,
AND01               ,Andover Sampling Port',8/14/2017,39,,10:48,55,25.0,,,,,,,,
AND01               ,Andover Sampling Port',8/23/2017,125,,10:04,,,,,,,,,,
AND01               ,Andover Sampling Port',8/23/2017,109,5.8,10:04,56,36.0,,,,,,,,
AND01               ,Andover Sampling Port',9/7/2017,2190,5.82,9:40,83,50.0,,,,,,,,
AND01               ,Andover Sampling Port',10/30/2017,,,,,,,,No flow power out,,,,,
AND01 (Duplicate),Duplicate of AND01,9/7/2016,20,,12:18,,,,,,,,,,
AND01 (Duplicate),Duplicate of AND01,9/21/2016,181,,10:12,,,,,,,,,,
AND01 (Duplicate)  ,Duplicate of AND01,8/23/2017,49,5.5,10:04,55,36.0,,,,,,,,
LAW01,Lawrence Instrument Bypass,9/7/2016,16,~7.4,10:45,,,,,,,,,,
LAW01,Lawrence Instrument Bypass,9/21/2016,285,10,12:22,,,,,,,,,,
LAW01,Lawrence instrument bypass,10/12/2016,8,1.3,12:32,,,,,,,,,,
LAW01,Lawrence instrument bypass,10/26/2016,,1.2,13:28,,,,,,,,,,
LAW01,Lawrence instrument bypass,11/16/2016,73,,11:02,,,,,,,,,,
LAW01,Lawrence Instrument Bypass,11/30/2016,43,,11:00,,,,,,,,,,
LAW01,Lawrence Instrument Bypass,12/14/2016,30,,11:26,,,,,,,,,,
LAW01               ,Lawrence instrument bypass,5/17/2017,21,,13:25,74,ND(5)   ,ND(12),0.16,,,,,,
LAW01               ,Lawrence instrument bypass,5/26/2017,2190,,13:30,52,,,,,,,,,
LAW01               ,Lawrence instrument bypass,6/13/2017,8,,12:01,30,9.0,ND(15),0.22,,,,,,
LAW01               ,Lawrence Instrument Bypass,6/19/2017,12,,14:26,,,,,,,,,,
LAW01               ,Lawrence instrument bypass,6/19/2017,12,3.0,14:26,47,16.0,ND(15),0.41,,,,,,
LAW01               ,Lawrence Instrument Bypass,8/14/2017,8,,12:10,,,,,,,,,,
LAW01               ,Lawrence instrument bypass,8/14/2017,ND (4),4.40,12:10,58,36.0,,,,,,,,
LAW01               ,Lawrence Instrument Bypass,8/23/2017,12,,13:02,,,,,,,,,,
LAW01               ,Lawrence instrument bypass,8/23/2017,34,3.9,13:02,69,47.0,ND(30),0.65,,,,,,
LAW01               ,Lawrence instrument bypass,9/7/2017,1549,3.94,10:41,95,66.0,ND(30),0.88,,,,,,
LAW01               ,Lawrence instrument bypass,10/30/2017,2452,,13:38,52,,,,,,,,,
LAW01 (Duplicate),Lawrence instrument bypass,11/30/2016,29,,11:00,,,,,,,,,,
LAW01 (Duplicate),Lawrence instrument bypass,8/14/2017,ND (4),,12:10,66,36.0,,,,,,,,
LAW01 (Duplicate) ,Lawrence instrument bypass,6/19/2017,38,3.0,14:26,42,16.0,ND(15),0.41,,,,,,
LAW01 (Duplicate)            ,Lawrence instrument bypass,5/17/2017,25,,13:25,71,ND(5)   ,ND(12),0.16,,,,,,
LAW01 Duplicate,Lawrence instrument bypass,9/7/2017,1302,5.48,10:41,96,66.0,ND(30),0.88,,,,,,
LAW01 Duplicate,Lawrence instrument bypass,10/30/2017,2318,,13:38,53,,,,,,,,,
MERA,Merrimack River @ Andover Intake,9/7/2016,4,,12:19,,,,,,,,,,
MERA,Merrimack River @ Andover Intake,9/21/2016,106,,10:10,,,,,,,,,,
MERA,Merrimack River @ Andover Intake,10/12/2016,252,3.6,10:15,,,,,,,,,,
MERA,Merrimack River @ Andover Intake,10/26/2016,,4.5,12:40,,,,,,,,,,
MERA,Merrimack River @ Andover Intake,11/16/2016,59,,10:29,,,,,,,,,,
MERA,Merrimack River @ Andover Intake,11/30/2016,345,,9:40,,,,,,,,,,
MERA,Merrimack River @ Andover Intake,12/14/2016,34,,12:26,,,,,,,,,,
